iter	Logloss
0	0.653896127
1	0.623252398
2	0.6060902728
3	0.5910773595
4	0.5778656958
5	0.5662891416
6	0.5561236078
7	0.5467067026
8	0.532543115
9	0.5262868374
10	0.5204201931
11	0.5154079099
12	0.5106113744
13	0.5057084873
14	0.5023218988
15	0.498823758
16	0.495225053
17	0.4918083572
18	0.4871299751
19	0.4842489623
20	0.481676307
21	0.4794830717
22	0.4771646782
23	0.474729405
24	0.4703946033
25	0.4688117103
26	0.4652505273
27	0.4641073363
28	0.4625309029
29	0.4616805742
30	0.4605730152
31	0.4594536513
32	0.4584505218
33	0.457506714
34	0.4568021265
35	0.455836825
36	0.455406781
37	0.4544342106
38	0.4537723415
39	0.4528809771
40	0.4522028207
41	0.4514297879
42	0.4509426326
43	0.4501342519
44	0.449689904
45	0.449097791
46	0.4487454436
47	0.4481687476
48	0.447857666
49	0.4473358217
50	0.4468939935
51	0.4464675111
52	0.4455852182
53	0.4453636371
54	0.4448741081
55	0.4447285762
56	0.44413725
57	0.4431785574
58	0.44291614
59	0.4427256088
60	0.442457808
61	0.4422240538
62	0.4420248437
63	0.441809596
64	0.4416258389
65	0.441423005
66	0.4412014603
67	0.4410438239
68	0.4408369107
69	0.4406180909
70	0.4404417424
71	0.4400294032
72	0.4398537401
73	0.4396150394
74	0.4394611655
75	0.4392480871
76	0.4390952446
77	0.4389410556
78	0.4388059635
79	0.43851526
80	0.4383728193
81	0.4380802598
82	0.4378689273
83	0.4376410097
84	0.4375403432
85	0.4373900124
86	0.4371874516
87	0.437114888
88	0.4369551044
89	0.4368347819
90	0.4367045377
91	0.4365506605
92	0.4364356596
93	0.4363207948
94	0.4362309992
95	0.4360922587
96	0.4359645932
97	0.435677124
98	0.4355382412
99	0.4353911035
100	0.4352440349
101	0.4351243308
102	0.4350239526
103	0.4349284036
104	0.4347592338
105	0.4346052595
106	0.43438039
107	0.4342658808
108	0.434131593
109	0.4339923761
110	0.433762753
111	0.4336049195
112	0.4334440174
113	0.4333419991
114	0.4332222654
115	0.4330920608
116	0.43297969
117	0.4327821078
118	0.4326904178
119	0.4325929684
120	0.4324484717
121	0.4323226405
122	0.4322059435
123	0.4321021113
124	0.4320257303
125	0.4318779661
126	0.4316881024
127	0.4315456702
128	0.4314371529
129	0.4312553381
130	0.4311256169
131	0.4309534719
132	0.4308536416
133	0.430755932
134	0.4306659758
135	0.4305371601
136	0.4304534147
137	0.4303662011
138	0.4302094976
139	0.4301052831
140	0.4299788247
141	0.4298717398
142	0.4297086101
143	0.4296027943
144	0.4295207116
145	0.4293766327
146	0.429280442
147	0.4291595266
148	0.4289991321
149	0.4289193543
150	0.4288172265
151	0.4287038896
152	0.4285427647
153	0.428417251
154	0.42829568
155	0.4282043152
156	0.4280681727
157	0.4280007822
158	0.4279031218
159	0.4277572007
160	0.4276834941
161	0.4275916291
162	0.4274852667
163	0.4273500807
164	0.4272485158
165	0.427121169
166	0.4270310137
167	0.4269289419
168	0.4268021564
169	0.426678243
170	0.4265598483
171	0.4264480071
172	0.4263856038
173	0.4262780822
174	0.4261421153
175	0.4257410639
176	0.4256571073
177	0.4255573252
178	0.4254889257
179	0.4253223917
180	0.4252607967
181	0.4251653621
182	0.4250869743
183	0.4250000945
184	0.4249106765
185	0.4248104488
186	0.4247171296
187	0.4246525093
188	0.4245969474
189	0.4244936754
190	0.4244040092
191	0.4243605229
192	0.4242432891
193	0.4241406638
194	0.4240458105
195	0.4239650594
196	0.4238897733
197	0.4238017728
198	0.4237173988
199	0.4236291336
200	0.4235036102
201	0.423398333
202	0.4232838989
203	0.4231756244
204	0.4230667281
205	0.423012829
206	0.4229226979
207	0.422864457
208	0.4227914248
209	0.4227008911
210	0.4225933748
211	0.4224637764
212	0.4223660073
213	0.4222713702
214	0.4221444121
215	0.4220081995
216	0.4218674606
217	0.4218010578
218	0.4217046346
219	0.421603896
220	0.4214915309
221	0.4214103859
222	0.4213085217
223	0.4212245319
224	0.4211511186
225	0.4210334677
226	0.4208985527
227	0.4207452581
228	0.4206788411
229	0.4206211904
230	0.420524801
