iter	Passed	Remaining
0	52	52729
1	75	37438
2	96	32090
3	110	27454
4	120	23966
5	130	21537
6	138	19633
7	147	18302
8	156	17262
9	167	16619
10	177	15972
11	185	15306
12	196	14941
13	209	14770
14	221	14541
15	232	14322
16	242	14028
17	252	13793
18	264	13671
19	274	13461
20	284	13282
21	294	13095
22	308	13086
23	320	13017
24	331	12937
25	341	12795
26	350	12619
27	361	12554
28	372	12472
29	381	12341
30	391	12239
31	404	12240
32	415	12187
33	428	12173
34	438	12093
35	448	12004
36	458	11936
37	469	11888
38	480	11828
39	489	11742
40	501	11726
41	513	11718
42	526	11708
43	535	11635
44	546	11587
45	555	11523
46	567	11506
47	577	11452
48	587	11400
49	596	11334
50	610	11361
51	621	11331
52	632	11299
53	641	11239
54	651	11190
55	662	11175
56	673	11135
57	682	11090
58	692	11051
59	704	11040
60	715	11021
61	728	11022
62	738	10986
63	747	10930
64	756	10884
65	769	10888
66	778	10837
67	788	10801
68	798	10770
69	811	10778
70	822	10762
71	833	10742
72	843	10706
73	852	10665
74	864	10658
75	877	10666
76	887	10635
77	896	10598
78	909	10598
79	919	10568
80	931	10564
81	940	10534
82	950	10501
83	960	10472
84	971	10462
85	982	10439
86	991	10403
87	1001	10383
88	1012	10367
89	1023	10351
90	1037	10360
91	1046	10330
92	1057	10312
93	1069	10312
94	1078	10276
95	1089	10261
96	1098	10227
97	1108	10207
98	1119	10185
99	1130	10178
100	1141	10162
101	1152	10150
102	1163	10130
103	1172	10103
104	1182	10081
105	1191	10046
106	1200	10016
107	1211	10010
108	1222	9993
109	1235	9999
110	1246	9981
111	1255	9954
112	1267	9947
113	1277	9930
114	1288	9913
115	1297	9885
116	1310	9888
117	1320	9866
118	1332	9862
119	1343	9850
120	1352	9826
121	1364	9822
122	1374	9797
123	1384	9778
124	1393	9757
125	1404	9740
126	1416	9736
127	1428	9733
128	1441	9730
129	1450	9705
130	1462	9698
131	1473	9691
132	1482	9665
133	1492	9643
134	1502	9629
135	1513	9617
136	1522	9592
137	1536	9599
138	1547	9586
139	1557	9565
140	1570	9568
141	1579	9545
142	1588	9520
143	1599	9508
144	1610	9495
145	1620	9478
146	1631	9466
147	1644	9465
148	1656	9458
149	1668	9454
150	1677	9434
151	1686	9411
152	1697	9395
153	1709	9390
154	1718	9368
155	1729	9358
156	1740	9345
157	1751	9332
158	1766	9341
159	1775	9323
160	1784	9301
161	1795	9287
162	1806	9274
163	1815	9254
164	1827	9250
165	1838	9237
166	1849	9223
167	1866	9245
168	1877	9230
169	1888	9219
170	1897	9197
171	1907	9180
172	1917	9168
173	1927	9147
174	1937	9133
175	1948	9124
176	1961	9118
177	1973	9112
178	1983	9096
179	1992	9074
180	2000	9053
181	2014	9053
182	2023	9033
183	2034	9021
184	2046	9015
185	2057	9005
186	2071	9005
187	2081	8989
188	2090	8969
189	2099	8950
190	2111	8943
191	2121	8928
192	2130	8907
193	2142	8899
194	2154	8892
195	2165	8882
196	2177	8874
197	2186	8855
198	2195	8836
199	2207	8829
200	2218	8817
201	2227	8798
202	2238	8789
203	2248	8773
204	2259	8762
205	2273	8761
206	2282	8743
207	2292	8729
208	2302	8715
209	2314	8705
210	2324	8693
211	2335	8681
212	2346	8668
213	2359	8665
214	2371	8657
215	2379	8636
216	2389	8622
217	2398	8605
218	2410	8595
219	2420	8582
220	2430	8566
221	2441	8554
222	2451	8541
223	2465	8539
224	2476	8530
225	2485	8513
226	2495	8497
227	2507	8489
228	2518	8479
229	2527	8461
230	2538	8450
231	2549	8439
232	2559	8426
233	2573	8425
234	2584	8414
235	2593	8395
236	2602	8378
237	2614	8372
238	2623	8354
239	2633	8338
240	2646	8334
241	2655	8318
242	2667	8308
243	2679	8301
244	2688	8284
245	2697	8269
246	2708	8258
247	2720	8248
248	2728	8229
249	2739	8217
250	2750	8208
251	2760	8193
252	2772	8185
253	2783	8176
254	2792	8157
255	2801	8142
256	2814	8136
257	2824	8121
258	2833	8105
259	2845	8100
260	2857	8091
261	2867	8078
262	2881	8073
263	2890	8058
264	2899	8042
265	2910	8031
266	2921	8020
267	2929	8002
268	2940	7989
